	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
leuktrB4woh	C04853	leuktrB4woh	w-hydroxyl leukotriene B4	C20H31O5	-1.0	BiGG compound	leuktrB4woh	20-OH-Leukotriene B4, 20-OH-LTB4, 20-Hydroxy-leukotriene B4, (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyeicosa-6,8,10,14-tetraenoate, (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyicosa-6,8,10,14-tetraenoate
nicrns	C05841	nicrns	Nicotinate D-ribonucleoside	C11H13NO6	0.0	BiGG compound	nicrns	beta-D-Ribosylnicotinate
protSfar	C20120	protSfar	S-Farnesyl protein	C20H33N2O3SR(C2H2NOR)n(C2H2NOR)n	0.0	formula adjusted to a system where peptide account is consistent with reaction balancing; (C2H2NOR)n represents the repetitive peptide, first group in the C terminal, second in the N terminal; the sign would depend on the protein but taken zero by convention		S-Farnesyl protein C-terminal CAAX
hdd2coa	C05272	hdd2coa	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	-4.0	BiGG compound	hdd2coa	trans-2-Hexadecenoyl-CoA, (2E)-Hexadecenoyl-CoA
lpro	C02051	lpro	Lipoylprotein	S2X	0.0	BiGG compound	lpro	H-Protein-lipoyllysine
argp	C05945	argp	L-Arginine phosphate	C6H14N4O5P	-1.0	BiGG compound		N5-[Imino(phosphonoamino)methyl]L-ornithine, omega-N-Phosphoarginine, Arginine phosphate, L-Arginine-NG-phosphoric acid, Phosphoarginine A, N-Phospho-L-arginine, N(omega)-Phospho-L-arginine, Phosphoarginine
mercplac	C05823	mercplac	3-Mercaptolactate	C3H5O3S	-1.0	BiGG compound	mercplac	L-3-Mercaptolactate, (R)-3-Mercaptolactate
orn	C00077	orn	Ornithine	C5H13N2O2	1.0	BiGG compound	orn	L-Ornithine, (S)-2,5-Diaminovaleric acid, (S)-2,5-Diaminopentanoic acid, (S)-2,5-Diaminopentanoate
caro	C02094	caro	beta-Carotene	C40H56	0.0	BiGG compound	caro	all-trans-beta-Carotene
acorn	C00437	acorn	N2-Acetyl-L-ornithine	C7H14N2O3	0.0	BiGG compound	acorn	N-Acetylornithine
4ppan	C03492	4ppan	D-4'-Phosphopantothenate	C9H15NO8P	-3.0	BiGG compound	4ppan	(R)-4'-Phosphopantothenate
cholcoads	C05460	cholcoads	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA"	C48H74N7O20P3S	-4.0	BiGG compound	cholcoads	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA
hyptaur	C00519	hyptaur	Hypotaurine	C2H6NO2S	-1.0	BiGG compound	hyptaur	2-Aminoethanesulfinic acid
3nphb	C03885	3nphb	3-Nonaprenyl-4-hydroxybenzoate	C52H77O3	-1.0	charge based on 3ocphb and 3dphb in BIGG		Nonaprenyl-4-hydroxybenzoate
xyl-D	C00181	xyl-D	D-Xylose	C5H10O5	0.0	BiGG compound	xyl-D	Wood sugar
Rtotal7	CC0122	Rtotal7	R total 7	C18.0H35.0O2.0	-1.0	R group starts from third carbon to satisfy mass balance with the convention used in ether-lipid metabolism	Rtotal,Rtotal2,Rtotal3	
Rtotal6	CC0133	Rtotal6	R total 6	C18.5654H31.5778O2.0	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
Rtotal5	CC0085	Rtotal5	R total 5 position	C17.3018H31.5094O2.0	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
Rtotal4	CC0083	Rtotal4	R total 4 position	C17.3018H31.5094O2.0	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
Rtotal3	CC0087	Rtotal3	R total 3 position	C17.3018H31.5094O2.0	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
Rtotal2	CC0001	Rtotal2	R total 2 position	C18.5654H31.5778O2.0	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
mercppyr	C00957	mercppyr	Mercaptopyruvate	C3H3O3S	-1.0	BiGG compound	mercppyr	3-Mercaptopyruvic acid, 3-Mercaptopyruvate
lpglyc	C18126	lpglyc	1-Acyl-sn-glycero-3-phosphoglycerol	C24.5654H44.5778O9.0P1.0	-1.0	charge is obvious based on general rules and similar compounds	2agpg181,2agpg180,2agpg161,2agpg160,2agpg141,2agpg140,2agpg120,1agpg181,1agpg180,1agpg161,1agpg160,1agpg141,1agpg140,1agpg120,agpg_EC,1glyc_hs	
acgam1p	C04501	acgam1p	N-Acetyl-D-glucosamine 1-phosphate	C8H14NO9P	-2.0	BiGG compound	acgam1p	N-Acetyl-alpha-D-glucosamine 1-phosphate
xol27oh	C15610	xol27oh	27-Hydroxycholesterol	C27H46O2	0.0	BiGG compound	xol27oh	Cholest-5-ene-3beta,26-diol, Cholest-5-ene-3beta,27-diol, 26-Hydroxycholesterol
atp	C00002	atp	ATP	C10H12N5O13P3	-4.0	BiGG compound	atp	Adenosine 5'-triphosphate
3htdcoa	C05260	3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4.0	BiGG compound	3htdcoa	
ttdca	C06424	ttdca	tetradecanoate (n-C14:0)	C14H27O2	-1.0	BiGG compound	ttdca	Tetradecanoic acid, Tetradecanoate, Myristic acid
glyc-R	C00258	glyc-R	(R)-Glycerate	C3H5O4	-1.0	BiGG compound	glyc-R	D-Glycerate, Glycerate, Glyceric acid
e4hglu	C05947	e4hglu	L-erythro-4-Hydroxyglutamate	C5H8NO5	-1.0	BiGG compound	e4hglu	
cystrna	C03125	cystrna	L-Cysteinyl-tRNA(Cys)	C3H7NO2SR	1.0	tRNA formula in BiGG was modified for mass balance	cystrna	
polyadprib	CC0049	polyadprib	poly adp ribose	C15H19N5O13P2	-2.0	formula of monomeric unit used; charge based on adprib		
pg_BAC	CC0059	pg_BAC	Phosphatidylglycerol (bacteria)	C39.171H74.2872O10.0P1.0	-1.0	charge is based on matching BiGG compounds	pglyc_hs,pg190,pg181,pg180,pg161,pg160190,pg160,pg141,pg140,pg120,pg_SA,pg_EC,pg_HP,pg_SC	
pa_tag	CC0080	pa_tag	Phosphatidic acid (TAG)	C37.6036H68.0188O8.0P1.0	-2.0	charge based on human version in BiGG	pa_hs,pa_Hp	
selcys	C05688	selcys	Selenocysteine	C3H7NO2Se	0.0	BiGG compound	selcys	L-Selenocysteine
ISclustprot	CC0137	ISclustprot	Iron-sulfur cluster protein	XFe2S2	6.0	represents general iron-sulfur cluster protein with the cluster loaded. | Charge unknown, arbitrarily set at 6 to warrant mass balance with relative charges		
pgp	C03892	pgp	phosphatidyl glycerol phosphate 	C43.1308H74.1556O13.0P2.0	-3.0	charge based on human version in BiGG	pgp_hs	Phosphatidylglycerophosphate, 3(3-sn-Phosphatidyl)-sn-glycerol 1-phosphate, 3(3-Phosphatidyl-)L-glycerol 1-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol 3'-phosphate
Rtotal6coa	CC0123	Rtotal6coa	R total 6 Coenzyme A	C39.5654H62.5778N7.0O17.0P3.0S1.0	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
pdipht	C01573	pdipht	Peptide diphthine	C14H21N5O4R2	0.0	formula based on KEGG, charge based on BIGG and MetaCyc		Diphthine, EF-2 diphthine, Elongation factor 2 diphthine
glyb	C00719	glyb	Glycine betaine	C5H11NO2	0.0	BiGG compound	glyb	Betaine, Trimethylaminoacetate, N,N,N-Trimethylglycine, Trimethylammonioacetate
m8mpdol	CC0024	m8mpdol	(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C180H296N2O62P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00007 in KEGG nomenclature	m8mpdol_L,m8mpdol_U	
h_pumped	CC0200	h_pumped	proton (pumped)	H	1.0	Introduced during the first model update to separate V-ATPase function from that of F-ATPase.		
27ascfa27p0	CC0175	27ascfa27p0	27-ascaryl-heptacosanoic acid	C33H63O6	-1.0	charge is based on the fatty acid chain		
pepasn3oh	CC0155	pepasn3oh	Peptide 3-hydroxy-L-asparagine	XC4H6N2O3	0.0	formula and charge based on MetaCyc		
peamn	C05332	peamn	Phenethylamine	C8H12N	1.0	BiGG compound	peamn	2-Phenylethylamine, beta-Phenylethylamine, Phenylethylamine
fmn	C00061	fmn	FMN	C17H19N4O9P	-2.0	BiGG compound	fmn	Riboflavin-5-phosphate, Flavin mononucleotide
glyc	C00116	glyc	Glycerol	C3H8O3	0.0	BiGG compound	glyc	Glycerin, 1,2,3-Trihydroxypropane, 1,2,3-Propanetriol
glu5sa	C01165	glu5sa	L-Glutamate 5-semialdehyde	C5H9NO3	0.0	BiGG compound	glu5sa	L-Glutamate gamma-semialdehyde
xylu-L	C00312	xylu-L	L-Xylulose	C5H10O5	0.0	BiGG compound	xylu-L	L-threo-Pentulose, L-Lyxulose
fm2masn	CC0042	fm2masn	MMFuc	C44.0H74.0N4.0O32.0	-0.0	named according to PMID: 12603202 		
2obut	C00109	2obut	2-Oxobutanoate	C4H5O3	-1.0	BiGG compound	2obut	2-Ketobutyric acid, 2-Oxobutyric acid, 2-Oxobutyrate, 2-Oxobutanoic acid, alpha-Ketobutyric acid, alpha-Ketobutyrate
xylu-D	C00310	xylu-D	D-Xylulose	C5H10O5	0.0	BiGG compound	xylu-D	D-threo-Pentulose, D-Lyxulose
alpa_pl	C00681	alpa_pl	Lysophosphatidic acid (phospholipids)	C21.5654H37.5778O7.0P1.0	-2.0	charge based on human version in BiGG	alpa_hs	1-Acyl-sn-glycerol 3-phosphate, 2-Lysophosphatidate, Lysophosphatidate, Lysophosphatidic acid
5dpmev	C01143	5dpmev	(R)-5-Diphosphomevalonate	C6H10O10P2	-4.0	BiGG compound	5dpmev	
pcollg_rest	CC0144	pcollg_rest	Procollagen (unmodified portion)	X	0.0	charge does not matter		
udp	C00015	udp	UDP	C9H11N2O12P2	-3.0	BiGG compound	udp	Uridine 5'-diphosphate
rna_BAC	CC0052	rna_BAC	RNA component of bacterial diet	C9.5853H10.7825N3.9531O6.9499P1.0	-1.0	charge does not matter		
hxan	C00262	hxan	Hypoxanthine	C5H4N4O	0.0	BiGG compound	hxan	Purine-6-ol
retinal	C00376	retinal	Retinal	C20H28O	0.0	BiGG compound	retinal	Vitamin A aldehyde, Retinene, all-trans-Retinal, all-trans-Vitamin A aldehyde, all-trans-Retinene
xol27one	C17336	xol27one	7alpha,26-Dihydroxy-4-cholesten-3-one	C27H44O3	0.0	charge based on similar compounds in BiGG		
nh4	C00014	nh4	Ammonium	H4N	1.0	BiGG compound	nh4	Ammonia, NH3
fa15p0isocoa	CC0094	fa15p0isocoa	Fatty acyl (C15:iso) coa	C36H60N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	acoa	
dnad	C00857	dnad	Deamino-NAD+	C21H24N6O15P2	-2.0	BiGG compound	dnad	Deamido-NAD+, Deamido-NAD
56dura	C00429	56dura	"5,6-dihydrouracil"	C4H6N2O2	0.0	BiGG compound	56dura	5,6-Dihydrouracil, Dihydro-2,4(1H,3H)-pyrimidinedione, Dihydrouracile, Dihydrouracil, 5,6-Dihydro-2,4-dihydroxypyrimidine, Hydrouracil, 2,4-Dioxotetrahydropyrimidine
thym	C00178	thym	Thymine	C5H6N2O2	0.0	BiGG compound	thym	5-Methyluracil
mi134p	C01243	mi134p	"1D-myo-Inositol 1,3,4-trisphosphate"	C6H9O15P3	-6.0	BiGG compound	mi134p	1D-myo-Inositol 1,3,4-trisphosphate, D-myo-Inositol 1,3,4-trisphosphate, Inositol 1,3,4-trisphosphate
Rtotal4coa	CC0084	Rtotal4coa	R total 4 coenzyme A	C38.3018H62.5094N7.0O17.0P3.0S1.0	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
ps_BAC	CC0060	ps_BAC	Phosphatidylserine (bacteria)	C39.171H73.2872N1.0O10.0P1.0	-1.0	charge is based on matching BiGG compounds	ps181,ps180,ps161,ps160,ps141,ps140,ps120,ps_SA,ps_hs,ps_EC,ps_HP,ps_SC	
5pmev	C01107	5pmev	(R)-5-Phosphomevalonate	C6H10O7P	-3.0	BiGG compound	5pmev	(R)-5-Phosphomevaloonic acid, (R)-Mevalonic acid 5-phosphate
crmp_ce	CC0202	crmp_ce	Ceramide 1-phosphate	C37.5654H68.5778N1.0O6.0P1.0	-2.0	charge based on human version in BiGG	crmp_hs	
dag_pl	C00641	dag_pl	diacylglycerol (phospholipids)	C40.1308H69.1556O5.0	-0.0	charge based on human version in BiGG	dag_hs	1,2-Diacyl-sn-glycerol, 1,2-Diacylglycerol, L-1,2-Diacylglycerol
xmp	C00655	xmp	Xanthosine 5'-phosphate	C10H11N4O9P	-2.0	BiGG compound	xmp	Xanthylic acid, XMP, (9-D-Ribosylxanthine)-5'-phosphate
Rtotal3coa	CC0003	Rtotal3coa	R total 3 Coenzyme A	C38.3018H62.5094N7.0O17.0P3.0S1.0	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
hista	C00388	hista	Histamine	C5H10N3	1.0	BiGG compound	hista	1H-Imidazole-4-ethanamine, 2-(4-Imidazolyl)ethylamine
gchola	C01921	gchola	glycocholate	C26H43NO6	0.0	BiGG compound	gchola	Glycocholic acid, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oylglycine
leutrna	C02047	leutrna	L-Leucyl-tRNA(Leu)	C6H13NO2R	1.0	tRNA formula in BiGG was modified for mass balance	leutrna	L-Leucyl-tRNA
pglyc	C00344	pglyc	phosphatidylglycerol 	C43.1308H75.1556O10.0P1.0	-1.0	charge based on human version in BiGG	pglyc_hs	Phosphatidylglycerol, 3-(3-sn-Phosphatidyl)glycerol, 3(3-Phosphatidyl-)glycerol, PtdGro
crm_ce	CC0205	crm_ce	ceramide 	C37.5654H69.5778N1.0O3.0	-0.0	charge based on human version in BiGG	crm_hs	
ascr10	CC0162	ascr10	Ascaroside 10	C15H27O6	-1.0	SMID ID: ascr#10; charge is based on the chemical structure		
fattyald	C00071	fattyald	Fatty aldehyde	C18.0H36.0O1.0	0.0	charge is zero since this is an aldehyde		Aldehyde, RCHO
pa_BAC	CC0064	pa_BAC	Phosphatidate  (bacteria)	C36.171H67.2872O8.0P1.0	-2.0	charge is based on matching BiGG compounds	pa_SA,pa_EC	
pail35p	C11556	pail35p	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)	C46.1308H77.1556O19.0P3.0	-5.0	BiGG compound		1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',5'-bisphosphate)
hco3	C00288	hco3	Bicarbonate	CHO3	-1.0	BiGG compound	hco3	HCO3-, Hydrogencarbonate, Acid carbonate
6pgc	C00345	6pgc	6-Phospho-D-gluconate	C6H10O10P	-3.0	BiGG compound	6pgc	
xol25oh	C15519	xol25oh	25-Hydroxycholesterol	C27H46O2	0.0	BiGG compound	xol25oh	Cholest-5-ene-3beta,25-diol
fprica	C04734	fprica	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C10H13N4O9P	-2.0	BiGG compound	fprica	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide, 5'-Phosphoribosyl-5-formamido-4-imidazolecarboxamide, 5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide, FAICAR
mthgxl	C00546	mthgxl	Methylglyoxal	C3H4O2	0.0	BiGG compound	mthgxl	Pyruvaldehyde, Pyruvic aldehyde, 2-Ketopropionaldehyde, 2-Oxopropanal
udpglcur	C00167	udpglcur	UDP-D-glucuronate	C15H19N2O18P2	-3.0	BiGG compound	udpglcur	UDP-glucuronate, UDPglucuronate, UDP-alpha-D-glucuronate
vacc	CC0135	vacc	Vaccenic acid	C18H33O2	-1.0	BiGG compound	vacc	
tyr-L	C00082	tyr-L	L-Tyrosine	C9H11NO3	0.0	BiGG compound	tyr-L	(S)-3-(p-Hydroxyphenyl)alanine, (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid, Tyrosine
cholate	C00695	cholate	Cholate	C24H39O5	-1.0	BiGG compound	cholate	Cholic acid, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid
apoISclustprot	CC0136	apoISclustprot	apo iron-sulfur cluster protein	X	0.0	represents apo form of general iron-sulfur cluster protein. | Charge unknown, arbitrarily set at 0 to warrant mass balance with relative charges		
5mdr1p	C04188	5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H11O7PS	-2.0	BiGG compound	5mdr1p	S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-alpha-D-ribose 1-phosphate, S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphate
seln	C01528	seln	Selenide	HSe	-1.0	BiGG compound	seln	Hydrogen selenide
acBgamamAsn	C04540	acBgamamAsn	N4-(Acetyl-beta-D-glucosaminyl)asparagine	C12H21N3O8	0.0	charge and formula based on MetaCyc		N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine, 1-beta-Aspartyl-N-acetyl-D-glucosaminylamine
4mlacac	C01036	4mlacac	4-Maleylacetoacetate	C8H6O6	-2.0	BiGG compound	4mlacac	4-Maleylacetoacetic acid
methf	C00445	methf	"5,10-Methenyltetrahydrofolate"	C20H20N7O6	-1.0	BiGG compound	methf	5,10-Methenyltetrahydrofolate
thcholstoic	C04722	thcholstoic	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate"	C27H45O5	-1.0	BiGG compound	thcholstoic	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oate, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate
4ppcys	C04352	4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS	-3.0	BiGG compound	4ppcys	(R)-4'-Phosphopantothenoyl-L-cysteine, N-[(R)-4'-Phosphopantothenoyl]-L-cysteine
thr-L	C00188	thr-L	L-Threonine	C4H9NO3	0.0	BiGG compound	thr-L	2-Amino-3-hydroxybutyric acid
dkmpp	C15650	dkmpp	"2,3-diketo-5-methylthio-1-phosphopentane"	C6H9O6PS	-2.0	BiGG compound	dkmpp	2,3-Diketo-5-methylthiopentyl-1-phosphate, 5-(Methylthio)-2,3-dioxopentyl phosphate
ascb-L	C00072	ascb-L	L-Ascorbate	C6H8O6	0.0	BiGG compound	ascb-L	Ascorbate, Ascorbic acid, L-Ascorbic acid, Vitamin C
L2aadp6sa	C04076	L2aadp6sa	L-2-Aminoadipate 6-semialdehyde	C6H11NO3	0.0	BiGG compound	L2aadp6sa	2-Aminoadipate 6-semialdehyde, L-Allysine, Allysine, (S)-2-Amino-6-oxohexanoate
tym	C00483	tym	Tyramine	C8H12NO	1.0	BiGG compound	tym	2-(p-Hydroxyphenyl)ethylamine
34hpp	C01179	34hpp	3-(4-Hydroxyphenyl)pyruvate	C9H7O4	-1.0	BiGG compound	34hpp	4-Hydroxyphenylpyruvate, p-Hydroxyphenylpyruvic acid
Rtotal2coa	CC0002	Rtotal2coa	R total 2 coenzyme A	C39.5654H62.5778N7.0O17.0P3.0S1.0	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
pail	C01194	pail	Phosphatidylinositol	C46.1308H79.1556O13.0P1.0	-1.0	charge is based on matching BiGG compounds	pail_hs	1-Phosphatidyl-D-myo-inositol, 1-Phosphatidyl-1D-myo-inositol, 1-Phosphatidyl-myo-inositol, Phosphatidyl-1D-myo-inositol, (3-Phosphatidyl)-1-D-inositol, 1,2-Diacyl-sn-glycero-3-phosphoinositol
pyr	C00022	pyr	Pyruvate	C3H3O3	-1.0	BiGG compound	pyr	Pyruvic acid, 2-Oxopropanoate, 2-Oxopropanoic acid, Pyroracemic acid
ahcys	C00021	ahcys	S-Adenosyl-L-homocysteine	C14H20N6O5S	0.0	BiGG compound	ahcys	S-Adenosylhomocysteine
urcan	C00785	urcan	Urocanate	C6H5N2O2	-1.0	BiGG compound	urcan	Urocanic acid
protCys	C20119	protCys	Protein-cysteine	C5H9N2O3SR(C2H2NOR)n(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		Protein C-terminal CAAX
xu5p-D	C00231	xu5p-D	D-Xylulose 5-phosphate	C5H9O8P	-2.0	BiGG compound	xu5p-D	
glcur	C00191	glcur	D-Glucuronate	C6H9O7	-1.0	BiGG compound	glcur	Glucuronic acid, Glucuronate
cbl1	C00853	cbl1	Cob(I)alamin	C62H88CoN13O14P	-1.0	BiGG compound	cbl1	Cbl, Vitamin B12s
Ndmelys	C05545	Ndmelys	Histone N6,N6-dimethyl-L-lysine	XC8H17N2O	1.0	formula and charge inferred from MetaCyc	Ndmelys	Protein N6,N6-dimethyl-L-lysine
Lcyst	C00506	Lcyst	L-Cysteate	C3H6NO5S	-1.0	BiGG compound	Lcyst	L-Cysteic acid, 3-Sulfoalanine, 2-Amino-3-sulfopropionic acid
thf	C00101	thf	"5,6,7,8-Tetrahydrofolate"	C19H21N7O6	-2.0	BiGG compound	thf	Tetrahydrofolate, 5,6,7,8-Tetrahydrofolate, Tetrahydrofolic acid, THF, (6S)-Tetrahydrofolate, (6S)-Tetrahydrofolic acid, (6S)-THFA
acakg	C03820	acakg	2-Acetyl-1-alkyl-sn-glycerol	C23.0H46.0O4.0	-0.0	charge is obvious based on general rules and similar compounds		1-Alkyl-2-acetyl-sn-glycerol, 1-O-Alkyl-2-acetyl-sn-glycerol
34hpl	C03672	34hpl	3-(4-Hydroxyphenyl)lactate	C9H9O4	-1.0	BiGG compound	34hpl	4-Hydroxyphenyllactate, p-Hydroxyphenyllactate, 2-Hydroxy-3-(4-hydroxyphenyl)propanoate
succoa	C00091	succoa	Succinyl-CoA	C25H35N7O19P3S	-5.0	BiGG compound	succoa	Succinyl coenzyme A
Rtotal5coa	CC0086	Rtotal5coa	R total 5 coenzyme A	C38.3018H62.5094N7.0O17.0P3.0S1.0	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
3mldz	C05827	3mldz	3-Methylimidazole acetaldehyde	C6H8N2O	0.0	BiGG compound	3mldz	Methylimidazole acetaldehyde, 1-Methylimidazole-4-acetaldehyde, Methylimidazoleacetaldehyde
ura	C00106	ura	Uracil	C4H4N2O2	0.0	BiGG compound	ura	
am6sa	C03824	am6sa	2-Aminomuconate 6-semialdehyde	C6H7NO3	0.0	BiGG compound	am6sa	2-Aminomuconate semialdehyde
Glycans	CC0132	Glycans	Glycan pool	C13.2771H21.7253N1.2095O9.0201	-0.0	charge does not matter		
camp	C00575	camp	cAMP	C10H11N5O6P	-1.0	BiGG compound	camp	3',5'-Cyclic AMP, Cyclic adenylic acid, Cyclic AMP, Adenosine 3',5'-phosphate, Adenosine 3',5'-cyclic phosphate
cmusa	C04409	cmusa	2-Amino-3-carboxymuconate semialdehyde	C7H6NO5	-1.0	BiGG compound	cmusa	2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate, 2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate
uri	C00299	uri	Uridine	C9H12N2O6	0.0	BiGG compound	uri	
h2s	C00283	h2s	Hydrogen sulfide	H2S	0.0	BiGG compound	h2s	Hydrogen-sulfide, H2S, Sulfide
h2o	C00001	h2o	H2O	H2O	0.0	BiGG compound	h2o	Water
3mlda	C05828	3mlda	3-Methylimidazoleacetic acid	C6H7N2O2	-1.0	BiGG compound	3mlda	Methylimidazoleacetic acid, Tele-methylimidazoleacetic acid, 1-Methyl-4-imidazoleacetic acid, 1-Methylimidazole-4-acetate, Methylimidazoleacetate
f6p	C00085	f6p	D-Fructose 6-phosphate	C6H11O9P	-2.0	BiGG compound	f6p	D-Fructose 6-phosphoric acid, Neuberg ester
glac	C02670	glac	"D-glucurono-6,3-lactone"	C6H8O6	0.0	BiGG compound	glac	D-Glucuronolactone, Glucurone, D-Glucurono-3,6-lactone, D-Glucurone
mev-R	C00418	mev-R	(R)-Mevalonate	C6H11O4	-1.0	BiGG compound	mev-R	Mevalonic acid, 3,5-Dihydroxy-3-methylvaleric acid
gdp	C00035	gdp	GDP	C10H12N5O11P2	-3.0	BiGG compound	gdp	Guanosine 5'-diphosphate, Guanosine diphosphate
acBgamam	C01239	acBgamam	N-Acetyl-beta-D-glucosaminylamine	C8H16N2O5	0.0	charge and formula based on MetaCyc		
10fthf	C00234	10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2.0	BiGG compound	10fthf	10-Formyl-THF
asptrna	C02984	asptrna	L-Aspartyl-tRNA(Asp)	C4H6NO4R	0.0	tRNA formula in BiGG was modified for mass balance	asptrna	
ivcoa	C02939	ivcoa	Isovaleryl-CoA	C26H40N7O17P3S	-4.0	BiGG compound	ivcoa	3-Methylbutanoyl-CoA
dgmp	C00362	dgmp	dGMP	C10H12N5O7P	-2.0	BiGG compound	dgmp	2'-Deoxyguanosine 5'-monophosphate, 2'-Deoxyguanosine 5'-phosphate, Deoxyguanylic acid, Deoxyguanosine monophosphate
doldp	C00621	doldp	Dolichol diphosphate	C110H179O7P2	-3.0	assumed n=18 for the number of isoprene units	doldp	Dolichyl diphosphate
clpn	C05980	clpn	Cardiolipin	C83.2616H142.3112O17.0P2.0	-2.0	charge is based on matching BiGG compounds	clpn181,clpn180,clpn161,clpn160190,clpn160,clpn141,clpn140,clpn120,clpn_SA,clpn_hs,clpn_HP,clpn_EC	Diphosphatidylglycerol, 1',3'-Bis(1,2-diacyl-sn-glycero-3-phospho)-sn-glycerol
tre6p	C00689	tre6p	"alpha,alpha'-Trehalose 6-phosphate"	C12H21O14P	-2.0	BiGG compound	tre6p	alpha,alpha'-Trehalose 6-phosphate, Trehalose 6-phosphate
dna_BAC	CC0053	dna_BAC	DNA component of bacterial diet	C9.7465H11.2465N3.7535O6.0P1.0	-1.0	charge does not matter		
n2m2masn	CC0035	n2m2masn	((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C54.0H90.0N6.0O38.0	-0.0	designated as G00015 in KEGG nomenclature	n2m2masn	
dhor-S	C00337	dhor-S	(S)-Dihydroorotate	C5H5N2O4	-1.0	BiGG compound	dhor-S	(S)-4,5-Dihydroorotate, L-Dihydroorotate, L-Dihydroorotic acid, Dihydro-L-orotic acid
3hodcoa	C16217	3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	-4.0	BiGG compound	3hodcoa	3-Hydroxyoctadecanoyl-CoA, 3-Hydroxystearoyl-CoA, beta-Hydroxystearoyl-CoA
q9	CC0012	q9	Ubiquinone-9	C54H82O4	0.0	charge based on all quinones in BIGG	q8,q6,q10,q	
q8	CC0013	q8	Ubiquinone-8	C49H74O4	0.0	BiGG compound	q8	
udpxyl	C00190	udpxyl	UDP-D-xylose	C14H20N2O16P2	-2.0	BiGG compound	udpxyl	UDP-xylose, UDP-alpha-D-xylose
guln	C00800	guln	L-Gulonate	C6H11O7	-1.0	BiGG compound	guln	L-Gulonic acid, Gulonate, Gulonic acid
