	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
C01573	pdipht	Peptide diphthine	C14H21N5O4R2	0.0	formula based on KEGG, charge based on BIGG and MetaCyc		Diphthine, EF-2 diphthine, Elongation factor 2 diphthine
C00719	glyb	Glycine betaine	C5H11NO2	0	BiGG compound	glyb	Betaine, Trimethylaminoacetate, N,N,N-Trimethylglycine, Trimethylammonioacetate
CC0024	m8mpdol	(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C180H296N2O62P2	-2.0	assumed n=18 for the number of isoprene units; designated as G00007 in KEGG nomenclature	m8mpdol_L,m8mpdol_U	
CC0200	h_pumped	proton (pumped)	H	1.0	Introduced during the first model update to separate V-ATPase function from that of F-ATPase.		
C03492	4ppan	D-4'-Phosphopantothenate	C9H15NO8P	-3	BiGG compound	4ppan	(R)-4'-Phosphopantothenate
CC0155	pepasn3oh	Peptide 3-hydroxy-L-asparagine	XC4H6N2O3	0.0	formula and charge based on MetaCyc		
C05332	peamn	Phenethylamine	C8H12N	1	BiGG compound	peamn	2-Phenylethylamine, beta-Phenylethylamine, Phenylethylamine
C00061	fmn	FMN	C17H19N4O9P	-2	BiGG compound	fmn	Riboflavin-5-phosphate, Flavin mononucleotide
C00116	glyc	Glycerol	C3H8O3	0	BiGG compound	glyc	Glycerin, 1,2,3-Trihydroxypropane, 1,2,3-Propanetriol
C01165	glu5sa	L-Glutamate 5-semialdehyde	C5H9NO3	0	BiGG compound	glu5sa	L-Glutamate gamma-semialdehyde
C00312	xylu-L	L-Xylulose	C5H10O5	0	BiGG compound	xylu-L	L-threo-Pentulose, L-Lyxulose
CC0042	fm2masn	MMFuc	C40H67N2O29X	0.0	named according to PMID: 12603202 		
C00109	2obut	2-Oxobutanoate	C4H5O3	-1	BiGG compound	2obut	2-Ketobutyric acid, 2-Oxobutyric acid, 2-Oxobutyrate, 2-Oxobutanoic acid, alpha-Ketobutyric acid, alpha-Ketobutyrate
C00310	xylu-D	D-Xylulose	C5H10O5	0	BiGG compound	xylu-D	D-threo-Pentulose, D-Lyxulose
C00681	alpa_pl	Lysophosphatidic acid (phospholipids)	C3H6O5PFULLRCO2	-2.0	charge based on human version in BiGG	alpa_hs	1-Acyl-sn-glycerol 3-phosphate, 2-Lysophosphatidate, Lysophosphatidate, Lysophosphatidic acid
C01143	5dpmev	(R)-5-Diphosphomevalonate	C6H10O10P2	-4	BiGG compound	5dpmev	
CC0144	pcollg_rest	Procollagen (unmodified portion)	X	0.0	charge does not matter		
C00015	udp	UDP	C9H11N2O12P2	-3	BiGG compound	udp	Uridine 5'-diphosphate
CC0052	rna_BAC	RNA component of bacterial diet	X	0.0	charge does not matter		
C00262	hxan	Hypoxanthine	C5H4N4O	0	BiGG compound	hxan	Purine-6-ol
C00376	retinal	Retinal	C20H28O	0	BiGG compound	retinal	Vitamin A aldehyde, Retinene, all-trans-Retinal, all-trans-Vitamin A aldehyde, all-trans-Retinene
C17336	xol27one	7alpha,26-Dihydroxy-4-cholesten-3-one	C27H44O3	0.0	charge based on similar compounds in BiGG		
C00014	nh4	Ammonium	H4N	1.0	BiGG compound	nh4	Ammonia, NH3
CC0094	fa15p0isocoa	Fatty acyl (C15:iso) coa	C36H60N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	acoa	
C00857	dnad	Deamino-NAD+	C21H24N6O15P2	-2	BiGG compound	dnad	Deamido-NAD+, Deamido-NAD
C00429	56dura	"5,6-dihydrouracil"	C4H6N2O2	0	BiGG compound	56dura	5,6-Dihydrouracil, Dihydro-2,4(1H,3H)-pyrimidinedione, Dihydrouracile, Dihydrouracil, 5,6-Dihydro-2,4-dihydroxypyrimidine, Hydrouracil, 2,4-Dioxotetrahydropyrimidine
C00178	thym	Thymine	C5H6N2O2	0	BiGG compound	thym	5-Methyluracil
C01243	mi134p	"1D-myo-Inositol 1,3,4-trisphosphate"	C6H9O15P3	-6	BiGG compound	mi134p	1D-myo-Inositol 1,3,4-trisphosphate, D-myo-Inositol 1,3,4-trisphosphate, Inositol 1,3,4-trisphosphate
CC0084	Rtotal4coa	R total 4 coenzyme A	CO2FULLR4C21H31N7O15P3S	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
CC0060	ps_BAC	Phosphatidylserine (bacteria)	C8H11NO10PR2	-1.0	charge is based on matching BiGG compounds	ps181,ps180,ps161,ps160,ps141,ps140,ps120,ps_SA,ps_hs,ps_EC,ps_HP,ps_SC	
C01107	5pmev	(R)-5-Phosphomevalonate	C6H10O7P	-3	BiGG compound	5pmev	(R)-5-Phosphomevaloonic acid, (R)-Mevalonic acid 5-phosphate
CC0202	crmp_ce	Ceramide 1-phosphate	C19H37NO5PFULLRCO	-2.0	charge based on human version in BiGG	crmp_hs	
C00641	dag_pl	diacylglycerol (phospholipids)	C3H6OFULLRCO2FULLR2CO2	0.0	charge based on human version in BiGG	dag_hs	1,2-Diacyl-sn-glycerol, 1,2-Diacylglycerol, L-1,2-Diacylglycerol
C00655	xmp	Xanthosine 5'-phosphate	C10H11N4O9P	-2	BiGG compound	xmp	Xanthylic acid, XMP, (9-D-Ribosylxanthine)-5'-phosphate
CC0003	Rtotal3coa	R total 3 Coenzyme A	CO2FULLR3C21H31N7O15P3S	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
C00388	hista	Histamine	C5H10N3	1	BiGG compound	hista	1H-Imidazole-4-ethanamine, 2-(4-Imidazolyl)ethylamine
C01921	gchola	glycocholate	C26H43NO6	0	BiGG compound	gchola	Glycocholic acid, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oylglycine
C02047	leutrna	L-Leucyl-tRNA(Leu)	C6H13NO2R	1.0	tRNA formula in BiGG was modified for mass balance	leutrna	L-Leucyl-tRNA
C00344	pglyc	phosphatidylglycerol 	C6H12O6PFULLRCO2FULLR2CO2	-1.0	charge based on human version in BiGG	pglyc_hs	Phosphatidylglycerol, 3-(3-sn-Phosphatidyl)glycerol, 3(3-Phosphatidyl-)glycerol, PtdGro
CC0205	crm_ce	ceramide 	C19H38NO2FULLRCO	0.0	charge based on human version in BiGG	crm_hs	
C00546	mthgxl	Methylglyoxal	C3H4O2	0	BiGG compound	mthgxl	Pyruvaldehyde, Pyruvic aldehyde, 2-Ketopropionaldehyde, 2-Oxopropanal
C00070	fattyald	Fatty aldehyde	RC2H3O	0.0	charge is zero since this is an aldehyde		Copper, Cu+, Cu2+, Cu(II)
CC0064	pa_BAC	Phosphatidate  (bacteria)	C5H5O8PR2	-2.0	charge is based on matching BiGG compounds	pa_SA,pa_EC	
C11556	pail35p	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)	C9H14O15P3FULLRCO2FULLR2CO2	-5.0	BiGG compound		1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',5'-bisphosphate)
C00288	hco3	Bicarbonate	CHO3	-1	BiGG compound	hco3	HCO3-, Hydrogencarbonate, Acid carbonate
C00345	6pgc	6-Phospho-D-gluconate	C6H10O10P	-3	BiGG compound	6pgc	
C15519	xol25oh	25-Hydroxycholesterol	C27H46O2	0	BiGG compound	xol25oh	Cholest-5-ene-3beta,25-diol
C04734	fprica	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C10H13N4O9P	-2	BiGG compound	fprica	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide, 5'-Phosphoribosyl-5-formamido-4-imidazolecarboxamide, 5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide, FAICAR
C00167	udpglcur	UDP-D-glucuronate	C15H19N2O18P2	-3	BiGG compound	udpglcur	UDP-glucuronate, UDPglucuronate, UDP-alpha-D-glucuronate
CC0135	vacc	Vaccenic acid	C18H33O2	-1.0	BiGG compound	vacc	
C00082	tyr-L	L-Tyrosine	C9H11NO3	0	BiGG compound	tyr-L	(S)-3-(p-Hydroxyphenyl)alanine, (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid, Tyrosine
C00695	cholate	Cholate	C24H39O5	-1	BiGG compound	cholate	Cholic acid, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid
CC0136	apoISclustprot	apo iron-sulfur cluster protein	X	0.0	represents apo form of general iron-sulfur cluster protein. | Charge unknown, arbitrarily set at 0 to warrant mass balance with relative charges		
C04188	5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H11O7PS	-2	BiGG compound	5mdr1p	S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-alpha-D-ribose 1-phosphate, S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphate
C01528	seln	Selenide	HSe	-1	BiGG compound	seln	Hydrogen selenide
C04540	acBgamamAsn	N4-(Acetyl-beta-D-glucosaminyl)asparagine	C12H21N3O8	0.0	charge and formula based on MetaCyc		N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine, 1-beta-Aspartyl-N-acetyl-D-glucosaminylamine
C01036	4mlacac	4-Maleylacetoacetate	C8H6O6	-2	BiGG compound	4mlacac	4-Maleylacetoacetic acid
C00445	methf	"5,10-Methenyltetrahydrofolate"	C20H20N7O6	-1	BiGG compound	methf	5,10-Methenyltetrahydrofolate
C04722	thcholstoic	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate"	C27H45O5	-1	BiGG compound	thcholstoic	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oate, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate
C04352	4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS	-3	BiGG compound	4ppcys	(R)-4'-Phosphopantothenoyl-L-cysteine, N-[(R)-4'-Phosphopantothenoyl]-L-cysteine
C00188	thr-L	L-Threonine	C4H9NO3	0	BiGG compound	thr-L	2-Amino-3-hydroxybutyric acid
C15650	dkmpp	"2,3-diketo-5-methylthio-1-phosphopentane"	C6H9O6PS	-2	BiGG compound	dkmpp	2,3-Diketo-5-methylthiopentyl-1-phosphate, 5-(Methylthio)-2,3-dioxopentyl phosphate
C00072	ascb-L	L-Ascorbate	C6H8O6	0	BiGG compound	ascb-L	Ascorbate, Ascorbic acid, L-Ascorbic acid, Vitamin C
C04076	L2aadp6sa	L-2-Aminoadipate 6-semialdehyde	C6H11NO3	0	BiGG compound	L2aadp6sa	2-Aminoadipate 6-semialdehyde, L-Allysine, Allysine, (S)-2-Amino-6-oxohexanoate
C00483	tym	Tyramine	C8H12NO	1	BiGG compound	tym	2-(p-Hydroxyphenyl)ethylamine
C01179	34hpp	3-(4-Hydroxyphenyl)pyruvate	C9H7O4	-1	BiGG compound	34hpp	4-Hydroxyphenylpyruvate, p-Hydroxyphenylpyruvic acid
CC0002	Rtotal2coa	R total 2 coenzyme A	CO2FULLR2C21H31N7O15P3S	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
C01194	pail	Phosphatidylinositol	C9H16O9PFULLRCO2FULLR2CO2	-1.0	charge is based on matching BiGG compounds	pail_hs	1-Phosphatidyl-D-myo-inositol, 1-Phosphatidyl-1D-myo-inositol, 1-Phosphatidyl-myo-inositol, Phosphatidyl-1D-myo-inositol, (3-Phosphatidyl)-1-D-inositol, 1,2-Diacyl-sn-glycero-3-phosphoinositol
C00022	pyr	Pyruvate	C3H3O3	-1	BiGG compound	pyr	Pyruvic acid, 2-Oxopropanoate, 2-Oxopropanoic acid, Pyroracemic acid
C00021	ahcys	S-Adenosyl-L-homocysteine	C14H20N6O5S	0	BiGG compound	ahcys	S-Adenosylhomocysteine
C00785	urcan	Urocanate	C6H5N2O2	-1	BiGG compound	urcan	Urocanic acid
C20119	protCys	Protein-cysteine	C5H9N2O3SR(C2H2NOR)n(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		Protein C-terminal CAAX
C00231	xu5p-D	D-Xylulose 5-phosphate	C5H9O8P	-2	BiGG compound	xu5p-D	
C00191	glcur	D-Glucuronate	C6H9O7	-1	BiGG compound	glcur	Glucuronic acid, Glucuronate
C00853	cbl1	Cob(I)alamin	C62H88CoN13O14P	-1	BiGG compound	cbl1	Cbl, Vitamin B12s
C05545	Ndmelys	Histone N6,N6-dimethyl-L-lysine	XC8H17N2O	1.0	formula and charge inferred from MetaCyc	Ndmelys	Protein N6,N6-dimethyl-L-lysine
C00506	Lcyst	L-Cysteate	C3H6NO5S	-1	BiGG compound	Lcyst	L-Cysteic acid, 3-Sulfoalanine, 2-Amino-3-sulfopropionic acid
C00101	thf	"5,6,7,8-Tetrahydrofolate"	C19H21N7O6	-2	BiGG compound	thf	Tetrahydrofolate, 5,6,7,8-Tetrahydrofolate, Tetrahydrofolic acid, THF, (6S)-Tetrahydrofolate, (6S)-Tetrahydrofolic acid, (6S)-THFA
C03820	acakg	2-Acetyl-1-alkyl-sn-glycerol	C5H9O4RC2H4	0.0	charge is obvious based on general rules and similar compounds		1-Alkyl-2-acetyl-sn-glycerol, 1-O-Alkyl-2-acetyl-sn-glycerol
C03672	34hpl	3-(4-Hydroxyphenyl)lactate	C9H9O4	-1	BiGG compound	34hpl	4-Hydroxyphenyllactate, p-Hydroxyphenyllactate, 2-Hydroxy-3-(4-hydroxyphenyl)propanoate
C00091	succoa	Succinyl-CoA	C25H35N7O19P3S	-5	BiGG compound	succoa	Succinyl coenzyme A
CC0086	Rtotal5coa	R total 5 coenzyme A	CO2FULLR5C21H31N7O15P3S	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
C05827	3mldz	3-Methylimidazole acetaldehyde	C6H8N2O	0	BiGG compound	3mldz	Methylimidazole acetaldehyde, 1-Methylimidazole-4-acetaldehyde, Methylimidazoleacetaldehyde
C00106	ura	Uracil	C4H4N2O2	0	BiGG compound	ura	
C03824	am6sa	2-Aminomuconate 6-semialdehyde	C6H7NO3	0	BiGG compound	am6sa	2-Aminomuconate semialdehyde
CC0132	Glycans	Glycan pool	X	0.0	charge does not matter		
C00575	camp	cAMP	C10H11N5O6P	-1	BiGG compound	camp	3',5'-Cyclic AMP, Cyclic adenylic acid, Cyclic AMP, Adenosine 3',5'-phosphate, Adenosine 3',5'-cyclic phosphate
C04409	cmusa	2-Amino-3-carboxymuconate semialdehyde	C7H6NO5	-1	BiGG compound	cmusa	2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate, 2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate
C00299	uri	Uridine	C9H12N2O6	0	BiGG compound	uri	
C00283	h2s	Hydrogen sulfide	H2S	0	BiGG compound	h2s	Hydrogen-sulfide, H2S, Sulfide
C00001	h2o	H2O	H2O	0	BiGG compound	h2o	Water
C05828	3mlda	3-Methylimidazoleacetic acid	C6H7N2O2	-1	BiGG compound	3mlda	Methylimidazoleacetic acid, Tele-methylimidazoleacetic acid, 1-Methyl-4-imidazoleacetic acid, 1-Methylimidazole-4-acetate, Methylimidazoleacetate
C00085	f6p	D-Fructose 6-phosphate	C6H11O9P	-2	BiGG compound	f6p	D-Fructose 6-phosphoric acid, Neuberg ester
C02670	glac	"D-glucurono-6,3-lactone"	C6H8O6	0	BiGG compound	glac	D-Glucuronolactone, Glucurone, D-Glucurono-3,6-lactone, D-Glucurone
C00418	mev-R	(R)-Mevalonate	C6H11O4	-1	BiGG compound	mev-R	Mevalonic acid, 3,5-Dihydroxy-3-methylvaleric acid
C00035	gdp	GDP	C10H12N5O11P2	-3	BiGG compound	gdp	Guanosine 5'-diphosphate, Guanosine diphosphate
C01239	acBgamam	N-Acetyl-beta-D-glucosaminylamine	C8H16N2O5	0.0	charge and formula based on MetaCyc		
C00234	10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2	BiGG compound	10fthf	10-Formyl-THF
C02984	asptrna	L-Aspartyl-tRNA(Asp)	C4H6NO4R	0.0	tRNA formula in BiGG was modified for mass balance	asptrna	
C02939	ivcoa	Isovaleryl-CoA	C26H40N7O17P3S	-4	BiGG compound	ivcoa	3-Methylbutanoyl-CoA
C00362	dgmp	dGMP	C10H12N5O7P	-2	BiGG compound	dgmp	2'-Deoxyguanosine 5'-monophosphate, 2'-Deoxyguanosine 5'-phosphate, Deoxyguanylic acid, Deoxyguanosine monophosphate
C00621	doldp	Dolichol diphosphate	C110H179O7P2	-3.0	assumed n=18 for the number of isoprene units	doldp	Dolichyl diphosphate
C05980	clpn	Cardiolipin	C9H16O9P2FULLRCO2FULLR2CO2FULLRCO2FULLR2CO2	-2.0	charge is based on matching BiGG compounds	clpn181,clpn180,clpn161,clpn160190,clpn160,clpn141,clpn140,clpn120,clpn_SA,clpn_hs,clpn_HP,clpn_EC	Diphosphatidylglycerol, 1',3'-Bis(1,2-diacyl-sn-glycero-3-phospho)-sn-glycerol
C00689	tre6p	"alpha,alpha'-Trehalose 6-phosphate"	C12H21O14P	-2	BiGG compound	tre6p	alpha,alpha'-Trehalose 6-phosphate, Trehalose 6-phosphate
CC0053	dna_BAC	DNA component of bacterial diet	X	0.0	charge does not matter		
CC0035	n2m2masn	((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C50H83N4O35X	0.0	designated as G00015 in KEGG nomenclature	n2m2masn	
C00337	dhor-S	(S)-Dihydroorotate	C5H5N2O4	-1	BiGG compound	dhor-S	(S)-4,5-Dihydroorotate, L-Dihydroorotate, L-Dihydroorotic acid, Dihydro-L-orotic acid
C16217	3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	-4	BiGG compound	3hodcoa	3-Hydroxyoctadecanoyl-CoA, 3-Hydroxystearoyl-CoA, beta-Hydroxystearoyl-CoA
CC0012	q9	Ubiquinone-9	C54H82O4	0.0	charge based on all quinones in BIGG	q8,q6,q10,q	
CC0013	q8	Ubiquinone-8	C49H74O4	0.0	BiGG compound	q8	
C00190	udpxyl	UDP-D-xylose	C14H20N2O16P2	-2	BiGG compound	udpxyl	UDP-xylose, UDP-alpha-D-xylose
C00800	guln	L-Gulonate	C6H11O7	-1	BiGG compound	guln	L-Gulonic acid, Gulonate, Gulonic acid
CC0026	g2m8mpdol	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C192H316N2O72P2	-2.0	assumed n=18 for the number of isoprene units; designated as G10599 in KEGG nomenclature	g2m8mpdol_L,g2m8mpdol_U	
C04874	dhnpt	Dihydroneopterin	C9H13N5O4	0	BiGG compound	dhnpt	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine, 7,8-Dihydroneopterin
C00239	dcmp	dCMP	C9H12N3O7P	-2	BiGG compound	dcmp	Deoxycytidylic acid, Deoxycytidine monophosphate, Deoxycytidylate, 2'-Deoxycytidine 5'-monophosphate
C01161	34dhpha	3-4-Dihydroxyphenylacetate	C8H7O4	-1.0	BiGG compound		3,4-Dihydroxyphenylacetate, 3,4-Dihydroxyphenylacetic acid, Homoprotocatechuate
C00119	prpp	5-Phospho-alpha-D-ribose 1-diphosphate	C5H8O14P3	-5	BiGG compound	prpp	5-Phosphoribosyl diphosphate, 5-Phosphoribosyl 1-pyrophosphate, PRPP
C03372	adhap	1-Acyl-glycerone 3-phosphate	C4H4O7PR	-2.0	charge based on human version in BiGG	1agly3p_SC	Acylglycerone phosphate, Dihydroxyacetone phosphate acyl ester
CC0045	nbglycogen	non-branching glycogen	C6H10O5	0.0	"glycogen" in BIGG nomenclature		
C00523	andrstrn	Androsterone	C19H30O2	0	BiGG compound	andrstrn	3alpha-Hydroxy-5alpha-androstan-17-one
CC0033	nm4masn	(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C54H90N3O40X	0.0	designated as G00013 in KEGG nomenclature	nm4masn	
C00249	hdca	Hexadecanoate (n-C16:0)	C16H31O2	-1	BiGG compound	hdca	Hexadecanoic acid, Hexadecanoate, Hexadecylic acid, Palmitic acid, Palmitate, Cetylic acid
C05653	nformanth	N-Formylanthranilate	C8H6NO3	-1	BiGG compound	nformanth	Formylanthranilate, 2-(Formylamino)-benzoic acid
CC0142	phospholipid_BAC	phospholipid component of E. coli diet	X	0.0	charge does not matter		
C04006	mi3p-D	1D-myo-Inositol 3-phosphate	C6H11O9P	-2	BiGG compound	mi3p-D	D-myo-Inositol 3-phosphate, myo-Inositol 3-phosphate, Inositol 3-phosphate, 1D-myo-Inositol 3-monophosphate, D-myo-Inositol 3-monophosphate, myo-Inositol 3-monophosphate, Inositol 3-monophosphate, 1L-myo-Inositol 1-phosphate, L-myo-Inositol 1-phosphate
C01352	fadh2	Flavin adenine dinucleotide reduced	C27H33N9O15P2	-2	BiGG compound	fadh2	FADH2
C04043	34dhpac	3,4-Dihydroxyphenylacetaldehyde	C8H8O3	0.0	BiGG compound		Protocatechuatealdehyde
C05276	oc2coa	trans-Oct-2-enoyl-CoA	C29H44N7O17P3S	-4	BiGG compound	oc2coa	(2E)-Octenoyl-CoA
C06001	3hmp	3-Hydroxy-2-methylpropanoate	C4H7O3	-1	BiGG compound	3hmp	(S)-3-Hydroxyisobutyrate
CC0006	3npdhb	3-nonaprenyl-4,5-dihydroxybenzoate	C52H77O4	-1.0	charge based on 3dpdhb in BIGG		
C00332	aacoa	Acetoacetyl-CoA	C25H36N7O18P3S	-4	BiGG compound	aacoa	Acetoacetyl coenzyme A, 3-Acetoacetyl-CoA
C03460	2mp2coa	2-Methylprop-2-enoyl-CoA	C25H36N7O17P3S	-4	BiGG compound	2mp2coa	Methacrylyl-CoA, Methylacrylyl-CoA
C05127	mhista	N-Methylhistamine	C6H12N3	1	BiGG compound	mhista	1-Methylhistamine, 1-Methyl-4-(2-aminoethyl)imidazole, Ntau-Methylhistamine
C03284	3aib	L-3-Amino-isobutanoate	C4H9NO2	0	BiGG compound	3aib	(S)-3-Amino-isobutyrate, L-3-Amino-isobutyrate, (S)-3-Amino-isobutanoate, (S)-3-Amino-2-methylpropanoate
C01997	Naclys	Histone N6-acetyl-L-lysine	XC8H14N2O2	0.0	formula and charge based on MetaCyc		Acetylhistone
C02067	psduri	Pseudouridine	C9H12N2O6	0.0	charge based on DBET, which is accurate for psd5p, a similar compound taking place in the same reaction		
C00129	ipdp	Isopentenyl diphosphate	C5H9O7P2	-3	BiGG compound	ipdp	delta3-Isopentenyl diphosphate, delta3-Methyl-3-butenyl diphosphate
C00080	h	H+	H	1	BiGG compound	h	Hydron, Proton
CC0209	m15hxdcal	15-methylhexadecanal	C17H34O	0.0	charge based on hexadecanal in BiGG		
C00439	forglu	N-Formimidoyl-L-glutamate	C6H8N2O4	-2	BiGG compound	forglu	N-Formimino-L-glutamate
C03722	quln	Quinolinate	C7H3NO4	-2	BiGG compound	quln	Pyridine-2,3-dicarboxylate, Quinolinic acid, 2,3-Pyridinedicarboxylic acid
C01103	orot5p	Orotidine 5'-phosphate	C10H10N2O11P	-3	BiGG compound	orot5p	Orotidylic acid
CC0111	fa17c9crn	cis-9,10-methylenehexadecanoyl carnitine	C24H45NO4	0.0	charge and formula based on other acyl carnitines		
C04375	pepasp_acgamam	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine	XC12O7N3H19	0.0	charge and formula based on MetaCyc; protein charge (that of X) is ignored		4-N-(N-Acetyl-D-glucosaminyl)-protein
C00683	mmcoa-S	(S)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	BiGG compound	mmcoa-S	(S)-Methylmalonyl-coenzyme A, (2S)-Methylmalonyl-CoA, D-Methylmalonyl-CoA
C01213	mmcoa-R	(R)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	BiGG compound	mmcoa-R	L-Methylmalonyl-CoA
C01149	4tmeabut	4-Trimethylammoniobutanal	C7H16NO	1	BiGG compound	4tmeabut	
C00318	crn	L-Carnitine	C7H15NO3	0	BiGG compound	crn	L-gamma-Trimethyl-beta-hydroxybutyrobetaine, Vitamin BT, 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt, Levocarnitine, (R)-Carnitine
C04441	caphis	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine	C11H15N5O4R2	0.0	formula based on KEGG, charge based on BIGG and MetaCyc		2-(3-Carboxy-3-aminopropyl)-L-histidine, EF-2 2-(3-carboxy-3-aminopropyl)-L-histidine, 2-[(3S)-3-Amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2]
C00665	f26bp	"D-Fructose 2,6-bisphosphate"	C6H10O12P2	-4	BiGG compound	f26bp	beta-D-Fructose 2,6-bisphosphate, D-Fructose 2,6-bisphosphate
CC0076	Rtotal_BAC	R total from bacterial diet	RCO2	-1.0	charge is obvious based on general rules and similar compounds		
CC0017	protSgerC	Protein C-terminal S-geranylgeranyl-L-cysteine 	C25H41N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		
C00398	trypta	Tryptamine	C10H13N2	1	BiGG compound	trypta	3-(2-Aminoethyl)indole
C00379	xylt	Xylitol	C5H12O5	0	BiGG compound	xylt	
CC0156	biomass_minor	Minor components of biomass	X	0.0	charge does not matter		
C00906	56dthm	"5,6-Dihydrothymine"	C5H8N2O2	0	BiGG compound	56dthm	5,6-Dihydrothymine, Dihydrothymine, 5,6-Dihydro-5-methyluracil
C01259	3htmelys	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	C9H21N2O3	1.0	formula and charge based on MetaCyc	3htmelys	
C00325	gdpfuc	GDP-L-fucose	C16H23N5O15P2	-2	BiGG compound	gdpfuc	GDP-beta-L-fucose
C00811	T4hcinnm	trans-4-Hydroxycinnamate	C9H7O3	-1	BiGG compound	T4hcinnm	4-Coumarate, p-Coumaric acid, trans-p-Hydroxycinnamate, 4-Hydroxycinnamic acid, 4-Hydroxycinnamate
C00696	prostgd2	Prostaglandin D2	C20H31O5	-1	BiGG compound	prostgd2	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate, (5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate, PGD2
C05697	sel	Selenate	O4Se	-2	BiGG compound	sel	Selenic acid
C17339	xoldiolone	"7alpha,12alpha-Dihydroxycholest-4-en-3-one"	C27H44O3	0	BiGG compound	xoldiolone	4-Cholesten-7alpha,12alpha-diol-3-one, 7alpha,12alpha-Dihydroxy-4-cholesten-3-one
C05263	3oddcoa	3-Oxododecanoyl-CoA	C33H52N7O18P3S	-4	BiGG compound	3oddcoa	
C00011	co2	CO2	CO2	0	BiGG compound	co2	Carbon dioxide
CC0032	m4masn	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C46H77N2O35X	0.0	designated as G00012 in KEGG nomenclature	m4masn	
C00988	2pglyc	2-Phosphoglycolate	C2H2O6P	-3	BiGG compound	2pglyc	Phosphoglycolic acid
CC0031	m8masn	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C70H117N2O55X	0.0	designated as G00011 in KEGG nomenclature	m8masn	
C05634	5hoxindact	5-Hydroxyindoleacetaldehyde	C10H9NO2	0	BiGG compound	5hoxindact	
