	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY
RCC0095	r	RCC0095	R00388;R03224;R02685;R01778;R00391	1.3.3.6;5.3.3.8;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (2) coa + (2) h2o + (2) nad + o2 + arachdcoa --> (2) accoa + (2) h + h2o2 + (2) nadh + fa16p3n6coa	(2) C00010 + (2) C00001 + (2) C00003 + C00007 + C02249 --> (2) C00024 + (2) C00080 + C00027 + (2) C00004 + CC0090	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & F58A6.1 & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0095	r	RMC0095	R00392;R03224;R02685;R01778;R00391	1.3.8.7;5.3.3.8;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (2) coa + (2) h2o + (2) nad + fad + arachdcoa --> (2) accoa + (2) h + fadh2 + (2) nadh + fa16p3n6coa	(2) M00010 + (2) M00001 + (2) M00003 + M00016 + M02249 --> (2) M00024 + (2) M00080 + M01352 + (2) M00004 + MC0090	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & (ech-4 | B0272.4) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0096	r	RCC0096	R00388;R03224;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (2) coa + (2) h2o + (2) nad + (2) o2 + eicostetcoa --> (2) accoa + (2) h + (2) h2o2 + (2) nadh + fa16p4n3coa	(2) C00010 + (2) C00001 + (2) C00003 + (2) C00007 + C16164 --> (2) C00024 + (2) C00080 + (2) C00027 + (2) C00004 + CC0092	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0096	r	RMC0096	R00392;R03224;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (2) coa + (2) h2o + (2) nad + (2) fad + eicostetcoa --> (2) accoa + (2) h + (2) fadh2 + (2) nadh + fa16p4n3coa	(2) M00010 + (2) M00001 + (2) M00003 + (2) M00016 + M16164 --> (2) M00024 + (2) M00080 + (2) M01352 + (2) M00004 + MC0092	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0097	r	RCC0097	R00388;R04319;R03224;R02685;R01778;R00391	1.3.3.6;5.3.3.8;1.3.1.34;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (4) coa + (4) h2o + (4) nad + (3) o2 + (2) nadph + fa16p4n3coa --> (4) accoa + (2) h + (3) h2o2 + (4) nadh + (2) nadp + fa8p1n3coa	(4) C00010 + (4) C00001 + (4) C00003 + (3) C00007 + (2) C00005 + CC0092 --> (4) C00024 + (2) C00080 + (3) C00027 + (4) C00004 + (2) C00006 + CC0091	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & F58A6.1 & F53C11.3 & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0097	r	RMC0097	R00392;R04319;R03224;R02685;R01778;R00391	1.3.8.7;5.3.3.8;1.3.1.34;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (4) coa + (4) h2o + (4) nad + (3) fad + (2) nadph + fa16p4n3coa --> (4) accoa + (2) h + (3) fadh2 + (4) nadh + (2) nadp + fa8p1n3coa	(4) M00010 + (4) M00001 + (4) M00003 + (3) M00016 + (2) M00005 + MC0092 --> (4) M00024 + (2) M00080 + (3) M01352 + (4) M00004 + (2) M00006 + MC0091	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & (ech-4 | B0272.4) & (decr-1.2 | decr-1.3) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0098	r	RCC0098	R00388;R03224;R02685;R01778;R00391	1.3.3.6;5.3.3.8;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (2) coa + (2) h2o + (2) nad + o2 + tmndnccoa --> (2) accoa + (2) h + h2o2 + (2) nadh + fa16p4n3coa	(2) C00010 + (2) C00001 + (2) C00003 + C00007 + C16165 --> (2) C00024 + (2) C00080 + C00027 + (2) C00004 + CC0092	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & F58A6.1 & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0098	r	RMC0098	R00392;R03224;R02685;R01778;R00391	1.3.8.7;5.3.3.8;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (2) coa + (2) h2o + (2) nad + fad + tmndnccoa --> (2) accoa + (2) h + fadh2 + (2) nadh + fa16p4n3coa	(2) M00010 + (2) M00001 + (2) M00003 + M00016 + M16165 --> (2) M00024 + (2) M00080 + M01352 + (2) M00004 + MC0092	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & (ech-4 | B0272.4) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0099	r	RCC0099	RCC0099	2.3.1.137	[c] : crn + fa8p1n3coa --> coa + fa8p1n3crn	C00318 + CC0091 --> C00010 + CC0093	F41E7.6 | T20B3.1	Carnitine shuttle
RMC0099	r	RMC0099	RMC0099	2.3.1.21	[m] : coa + fa8p1n3crn --> crn + fa8p1n3coa	M00010 + MC0093 --> M00318 + MC0091	cpt-2	Carnitine shuttle
RMC0100	r	RMC0100	R00392;R02685;R01778;R00391	1.3.8.7;5.3.3.8;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (2) coa + (2) h2o + (2) nad + fad + fa8p1n3coa --> (2) accoa + (2) h + fadh2 + (2) nadh + btcoa	(2) M00010 + (2) M00001 + (2) M00003 + M00016 + MC0091 --> (2) M00024 + (2) M00080 + M01352 + (2) M00004 + M00136	(acdh-7 | acdh-8 | acdh-10) & (ech-4 | B0272.4) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0101	r	RCC0101	R00390	6.2.1.3	[c] : atp + coa + fa15p0iso --> amp + ppi + fa15p0isocoa	C00002 + C00010 + CC0070 --> C00020 + C00013 + CC0094	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RCC0102	r	RCC0102	R00390	6.2.1.3	[c] : atp + coa + fa17p0iso --> amp + ppi + fa17p0isocoa	C00002 + C00010 + CC0071 --> C00020 + C00013 + CC0095	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RCC0103	r	RCC0103	R00388;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : coa + h2o + nad + o2 + fa17p0isocoa --> accoa + h + h2o2 + nadh + fa15p0isocoa	C00010 + C00001 + C00003 + C00007 + CC0095 --> C00024 + C00080 + C00027 + C00004 + CC0094	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0103	r	RMC0103	R00392;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : coa + h2o + nad + fad + fa17p0isocoa --> accoa + h + fadh2 + nadh + fa15p0isocoa	M00010 + M00001 + M00003 + M00016 + MC0095 --> M00024 + M00080 + M01352 + M00004 + MC0094	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0104	r	RCC0104	R00388;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + fa15p0isocoa --> (3) accoa + (3) h + (3) h2o2 + (3) nadh + fa9p0isocoa	(3) C00010 + (3) C00001 + (3) C00003 + (3) C00007 + CC0094 --> (3) C00024 + (3) C00080 + (3) C00027 + (3) C00004 + CC0096	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0104	r	RMC0104	R00392;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (3) coa + (3) h2o + (3) nad + (3) fad + fa15p0isocoa --> (3) accoa + (3) h + (3) fadh2 + (3) nadh + fa9p0isocoa	(3) M00010 + (3) M00001 + (3) M00003 + (3) M00016 + MC0094 --> (3) M00024 + (3) M00080 + (3) M01352 + (3) M00004 + MC0096	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RMC0105	r	RMC0105	R00392;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (2) coa + (2) h2o + (2) nad + (2) fad + fa9p0isocoa --> (2) accoa + (2) h + (2) fadh2 + (2) nadh + ivcoa	(2) M00010 + (2) M00001 + (2) M00003 + (2) M00016 + MC0096 --> (2) M00024 + (2) M00080 + (2) M01352 + (2) M00004 + M02939	(acdh-7 | acdh-8 | acdh-10) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0106	r	RCC0106	R00388;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : coa + h2o + nad + o2 + fa19c11coa --> accoa + h + h2o2 + nadh + fa17c9coa	C00010 + C00001 + C00003 + C00007 + CC0099 --> C00024 + C00080 + C00027 + C00004 + CC0098	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0106	r	RMC0106	R00392;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : coa + h2o + nad + fad + fa19c11coa --> accoa + h + fadh2 + nadh + fa17c9coa	M00010 + M00001 + M00003 + M00016 + MC0099 --> M00024 + M00080 + M01352 + M00004 + MC0098	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0107	r	RCC0107	R00388;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + fa17c9coa --> (3) accoa + (3) h + (3) h2o2 + (3) nadh + fa11c3coa	(3) C00010 + (3) C00001 + (3) C00003 + (3) C00007 + CC0098 --> (3) C00024 + (3) C00080 + (3) C00027 + (3) C00004 + CC0097	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0107	r	RMC0107	R00392;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : (3) coa + (3) h2o + (3) nad + (3) fad + fa17c9coa --> (3) accoa + (3) h + (3) fadh2 + (3) nadh + fa11c3coa	(3) M00010 + (3) M00001 + (3) M00003 + (3) M00016 + MC0098 --> (3) M00024 + (3) M00080 + (3) M01352 + (3) M00004 + MC0097	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RCC0108	r	RCC0108	RCC0108	2.3.1.21	[c] : crn + vacccoa --> coa + vacccrn	C00318 + CC0068 --> C00010 + CC0100	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0108	r	RMC0108	RMC0108	2.3.1.21	[m] : coa + vacccrn --> crn + vacccoa	M00010 + MC0100 --> M00318 + MC0068	cpt-2	Carnitine shuttle
RCC0109	r	RCC0109	RCC0109	2.3.1.21	[c] : crn + odecoa --> coa + odecrn	C00318 + C00510 --> C00010 + CC0101	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0109	r	RMC0109	RMC0109	2.3.1.21	[m] : coa + odecrn --> crn + odecoa	M00010 + MC0101 --> M00318 + M00510	cpt-2	Carnitine shuttle
RCC0110	r	RCC0110	RCC0110	2.3.1.21	[c] : crn + lnlccoa --> coa + lnlccrn	C00318 + C02050 --> C00010 + CC0102	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0110	r	RMC0110	RMC0110	2.3.1.21	[m] : coa + lnlccrn --> crn + lnlccoa	M00010 + MC0102 --> M00318 + M02050	cpt-2	Carnitine shuttle
RCC0111	r	RCC0111	RCC0111	2.3.1.21	[c] : crn + dlnlcgcoa --> coa + dlnlcgcrn	C00318 + C03595 --> C00010 + CC0103	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0111	r	RMC0111	RMC0111	2.3.1.21	[m] : coa + dlnlcgcrn --> crn + dlnlcgcoa	M00010 + MC0103 --> M00318 + M03595	cpt-2	Carnitine shuttle
RCC0112	r	RCC0112	RCC0112	2.3.1.21	[c] : crn + tmndnccoa --> coa + tmndnccrn	C00318 + C16165 --> C00010 + CC0104	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0112	r	RMC0112	RMC0112	2.3.1.21	[m] : coa + tmndnccrn --> crn + tmndnccoa	M00010 + MC0104 --> M00318 + M16165	cpt-2	Carnitine shuttle
RCC0113	r	RCC0113	RCC0113	2.3.1.21	[c] : crn + eicostetcoa --> coa + eicostetcrn	C00318 + C16164 --> C00010 + CC0105	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0113	r	RMC0113	RMC0113	2.3.1.21	[m] : coa + eicostetcrn --> crn + eicostetcoa	M00010 + MC0105 --> M00318 + M16164	cpt-2	Carnitine shuttle
RCC0114	r	RCC0114	RCC0114	2.3.1.21	[c] : crn + arachdcoa --> coa + arachdcrn	C00318 + C02249 --> C00010 + CC0106	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0114	r	RMC0114	RMC0114	2.3.1.21	[m] : coa + arachdcrn --> crn + arachdcoa	M00010 + MC0106 --> M00318 + M02249	cpt-2	Carnitine shuttle
RCC0115	r	RCC0115	RCC0115	2.3.1.21	[c] : crn + tdcoa --> coa + ttdcrn	C00318 + C02593 --> C00010 + CC0061	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0115	r	RMC0115	RMC0115	2.3.1.21	[m] : coa + ttdcrn --> crn + tdcoa	M00010 + MC0061 --> M00318 + M02593	cpt-2	Carnitine shuttle
RCC0116	r	RCC0116	RCC0116	2.3.1.21	[c] : crn + stcoa --> coa + stcrn	C00318 + C00412 --> C00010 + CC0108	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0116	r	RMC0116	RMC0116	2.3.1.21	[m] : coa + stcrn --> crn + stcoa	M00010 + MC0108 --> M00318 + M00412	cpt-2	Carnitine shuttle
RCC0117	r	RCC0117	RCC0117	2.3.1.21	[c] : crn + fa16p1n7coa --> coa + fa16p1n7crn	C00318 + CC0067 --> C00010 + CC0109	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0117	r	RMC0117	RMC0117	2.3.1.21	[m] : coa + fa16p1n7crn --> crn + fa16p1n7coa	M00010 + MC0109 --> M00318 + MC0067	cpt-2	Carnitine shuttle
RCC0118	r	RCC0118	RCC0118	2.3.1.21	[c] : crn + fa11c3coa --> coa + fa11c3crn	C00318 + CC0097 --> C00010 + CC0110	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0118	r	RMC0118	RMC0118	2.3.1.21	[m] : coa + fa11c3crn --> crn + fa11c3coa	M00010 + MC0110 --> M00318 + MC0097	cpt-2	Carnitine shuttle
RCC0119	r	RCC0119	RCC0119	2.3.1.21	[c] : crn + fa17c9coa --> coa + fa17c9crn	C00318 + CC0098 --> C00010 + CC0111	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0119	r	RMC0119	RMC0119	2.3.1.21	[m] : coa + fa17c9crn --> crn + fa17c9coa	M00010 + MC0111 --> M00318 + MC0098	cpt-2	Carnitine shuttle
RCC0120	r	RCC0120	RCC0120	2.3.1.21	[c] : crn + fa19c11coa --> coa + fa19c11crn	C00318 + CC0099 --> C00010 + CC0112	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0120	r	RMC0120	RMC0120	2.3.1.21	[m] : coa + fa19c11crn --> crn + fa19c11coa	M00010 + MC0112 --> M00318 + MC0099	cpt-2	Carnitine shuttle
RCC0121	r	RCC0121	RCC0121	2.3.1.21	[c] : crn + fa15p0isocoa --> coa + fa15p0isocrn	C00318 + CC0094 --> C00010 + CC0113	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0121	r	RMC0121	RMC0121	2.3.1.21	[m] : coa + fa15p0isocrn --> crn + fa15p0isocoa	M00010 + MC0113 --> M00318 + MC0094	cpt-2	Carnitine shuttle
RCC0122	r	RCC0122	RCC0122	2.3.1.21	[c] : crn + fa17p0isocoa --> coa + fa17p0isocrn	C00318 + CC0095 --> C00010 + CC0114	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0122	r	RMC0122	RMC0122	2.3.1.21	[m] : coa + fa17p0isocrn --> crn + fa17p0isocoa	M00010 + MC0114 --> M00318 + MC0095	cpt-2	Carnitine shuttle
RCC0123	r	RCC0123	RCC0123	2.3.1.21	[c] : crn + fa9p0isocoa --> coa + fa9p0isocrn	C00318 + CC0096 --> C00010 + CC0115	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0123	r	RMC0123	RMC0123	2.3.1.21	[m] : coa + fa9p0isocrn --> crn + fa9p0isocoa	M00010 + MC0115 --> M00318 + MC0096	cpt-2	Carnitine shuttle
RCC0124	r	RCC0124	R10825;R10826;R10827;R10828	2.3.1.199;1.1.1.330;4.2.1.134;1.3.1.93	[c] : (9) h + (3) malcoa + (6) nadph + stcoa --> (3) co2 + (3) coa + (3) h2o + (6) nadp + lgnccoa	(9) C00080 + (3) C00083 + (6) C00005 + C00412 --> (3) C00011 + (3) C00010 + (3) C00001 + (6) C00006 + CC0116	elo-1 & let-767 & hpo-8 & art-1	Fatty acid elongation
RCC0125	r	RCC0125	R00388;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + lgnccoa --> (3) accoa + (3) h + (3) h2o2 + (3) nadh + stcoa	(3) C00010 + (3) C00001 + (3) C00003 + (3) C00007 + CC0116 --> (3) C00024 + (3) C00080 + (3) C00027 + (3) C00004 + C00412	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RCC0126	r	RCC0126	R00388;R02685;R01778;R00391	1.3.3.6;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[x] : coa + h2o + nad + o2 + stcoa --> accoa + h + h2o2 + nadh + pmtcoa	C00010 + C00001 + C00003 + C00007 + C00412 --> C00024 + C00080 + C00027 + C00004 + C00154	(acox-1.5 | acox-1.1 | acox-1.2 | acox-1.3 | acox-1.4 | acox-3 | acox-1.6) & (dhs-28 | maoc-1) & daf-22	Peroxisomal fatty acid beta oxidation
RMC0126	r	RMC0126	R00392;R02685;R01778;R00391	1.3.8.7;4.2.1.17;1.1.1.211;1.1.1.35;2.3.1.16	[m] : coa + h2o + nad + fad + stcoa --> accoa + h + fadh2 + nadh + pmtcoa	M00010 + M00001 + M00003 + M00016 + M00412 --> M00024 + M00080 + M01352 + M00004 + M00154	(acdh-7 | acdh-8 | acdh-10 | acdh-12) & [(ech-6 | ech-7) | (ech-1.2 | ech-1.1) | ech-3] & [(ech-1.2 | ech-1.1) | (B0272.3 | F54C8.1 | ech-8 | ech-9 | hacd-1)] & (B0303.3 | acaa-2)	Mitochondrial fatty acid beta oxidation
RC01998	r	RC01998	R01998	1.1.1.192	alkylR1oh + h2o + (2) nad <==> Rtotal7 + (2) nadh + (3) h	C00339 + C00001 + (2) C00003 <==> CC0122 + (2) C00004 + (3) C00080	fard-1	Fatty acid metabolism
RC08174	r	RC08174	R08174	3.1.2.2	stcoa + h2o --> ocdca + coa + h	C00412 + C00001 --> C01530 + C00010 + C00080	 K05B2.4 | (W03D8.8 | T05E7.1) | C31H5.6 | (C17C3.1  | C17C3.3  | C37H5.13  | F25E2.3) 	Biosynthesis of unsaturated fatty acids
RCC0127	r	RCC0127	R00390	6.2.1.3	[c] : atp + coa + Rtotal6 --> amp + ppi + Rtotal6coa	C00002 + C00010 + CC0133 --> C00020 + C00013 + CC0123	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RCC0128	r	RCC0128	R00390	6.2.1.3	[c] : atp + coa + Rtotal --> amp + ppi + Rtotalcoa	C00002 + C00010 + C00162 --> C00020 + C00013 + C00040	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RCC0129	r	RCC0129	R00390	6.2.1.3	[c] : atp + coa + Rtotal3 --> amp + ppi + Rtotal3coa	C00002 + C00010 + CC0087 --> C00020 + C00013 + CC0003	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RM00199	r	RM00199	R00199	2.7.9.2	[m] : atp + pyr + h2o --> amp + pep + pi + (2) h	M00002 + M00022 + M00001 --> M00020 + M00074 + M00009 + (2) M00080	T21C9.6	Pyruvate metabolism
RC00238	r	RC00238	R00238	2.3.1.9	[c] : (2) accoa <==> coa + aacoa	(2) C00024 <==> C00010 + C00332	T02G5.7	Fatty acid metabolism
RM01616	r	RM01616	R01616	6.2.1.12	[m] : T4hcinnm + atp + coa --> 4cmcoa + amp + ppi	M00811 + M00002 + M00010 --> M00223 + M00020 + M00013	acs-6	Ubiquinone and other terpenoid-quinone biosynthesis
RC01274	r	RC01274	R01274	3.1.2.22	[c] : h2o + pmtcoa --> coa + h + hdca	C00001 + C00154 --> C00010 + C00080 + C00249	ppt-1	Fatty acid elongation
RM02016	r	RM02016	R02016	1.8.1.9	[m] : h + nadph + trdox --> nadp + trdrd	M00080 + M00005 + M00343 --> M00006 + M00342	trxr-1	Pyrimidine metabolism
RM03158	r	RM03158	R03158	3.1.2.4	[m] : 3hpcoa + h2o --> 3hpp + coa + h	M05668 + M00001 --> M01013 + M00010 + M00080	hach-1	Propanoate metabolism
RC08761	r	RC08761	R08761	1.14.13.15	[c] : nadph + o2 + thcholst --> h2o + nadp + thcholstoic	C00005 + C00007 + C01301 --> C00001 + C00006 + C04722	daf-9	Primary bile acid biosynthesis
RC08759	r	RC08759	R08759	1.14.13.15	[c] : nadp + xoltetrol <==> h + nadph + thcholst	C00006 + C05446 <==> C00080 + C00005 + C01301	daf-9	Primary bile acid biosynthesis
RC04807	r	RC04807	R04807	1.14.13.15	[c] : h + nadph + o2 + xoltriol --> h2o + nadp + xoltetrol	C00080 + C00005 + C00007 + C05454 --> C00001 + C00006 + C05446	daf-9	Primary bile acid biosynthesis
RC08505	r	RC08505	R08505	1.14.13.15	[c] : chsterol + h + nadph + o2 --> h2o + nadp + xol27oh	C00187 + C00080 + C00005 + C00007 --> C00001 + C00006 + C15610	daf-9	Primary bile acid biosynthesis
RC08725	r	RC08725	R08725	1.14.13.15	[c] : xol27one + h + (2) nadph + (2) o2 --> (3) h2o + (2) nadp + 7a3o4chlstnt	C17336 + C00080 + (2) C00005 + (2) C00007 --> (3) C00001 + (2) C00006 + C17337	daf-9	Primary bile acid biosynthesis
RCC0130	r	RCC0130	R00390	6.2.1.3	[c] : atp + coa + vacc --> amp + ppi + vacccoa	C00002 + C00010 + CC0135 --> C00020 + C00013 + CC0068	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RC10092	r	RC10092	R10092	4.2.1.1	[c] : co2 + h2o <==> h + hco3	C00011 + C00001 <==> C00080 + C00288	[(bca-1 | bca-2) | cah-4 | (cah-3 | cah-5 | cah-6)] | (cah-1 | cah-2)	Nitrogen metabolism
RM10092	r	RM10092	R10092	4.2.1.1	[m] : co2 + h2o <==> h + hco3	M00011 + M00001 <==> M00080 + M00288	bca-1 | cah-4	Nitrogen metabolism
RE10092	r	RE10092	R10092	4.2.1.1	[e] : co2 + h2o <==> h + hco3	E00011 + E00001 <==> E00080 + E00288	cah-5	Nitrogen metabolism
RM02530	r	RM02530	R02530	4.4.1.5	[m] : gthrd + mthgxl <==> lgt-S	M00051 + M00546 <==> M03451	glod-4	Pyruvate metabolism
RCC0131	r	RCC0131	RCC0131	4.2.3.3	[c] : g3p --> mthgxl + pi	C00118 --> C00546 + C00009	Unknown	Pyruvate metabolism
RC01016	r	RC01016	R01016	4.2.3.3	[c] : dhap --> mthgxl + pi	C00111 --> C00546 + C00009	Unknown	Pyruvate metabolism
RC00619	r	RC00619	R00619	2.7.6.2	[c] : atp + thm --> amp + h + thmpp	C00002 + C00378 --> C00020 + C00080 + C00068	tpk-1	Thiamine metabolism
